Id,name,level,health,damagae,armor,price,sell,goldUpgrade
1,SickleDragon,1,700,200,40,500,300,100
1,SickleDragon,2,800,220,40,800,400,150
1,SickleDragon,3,900,240,40,1200,600,300
1,SickleDragon,4,1000,260,40,1600,800,450
1,SickleDragon,5,1100,280,40,1800,900,700
1,SickleDragon,6,1200,300,40,2000,1000,1000
1,SickleDragon,7,1300,320,40,2200,1100,1400
1,SickleDragon,8,1400,340,40,2400,1200,1800
1,SickleDragon,9,1500,360,40,2600,1300,1600
1,SickleDragon,10,1600,380,40,2800,1400,2000
1,SickleDragon,11,1700,400,40,3000,1500,2400
1,SickleDragon,12,1800,420,40,3200,1600,2700
1,SickleDragon,13,1900,440,40,3400,1700,3000
1,SickleDragon,14,2000,460,40,3600,1800,3200
1,SickleDragon,15,2100,480,40,3800,1900,3500
1,SickleDragon,16,2200,500,40,4000,2000,3700
1,SickleDragon,17,2300,520,40,4200,2100,4000
1,SickleDragon,18,2400,550,40,4400,2200,0
